date,name,cases_rolling,facebook_mobility_score
2020-01-20,Monash (C),0.0,
2020-01-20,Moonee Valley (C),0.0,
2020-01-20,Moreland (C),0.0,
2020-01-20,Mornington Peninsula (S),0.0,
2020-01-20,Nillumbik (S),0.0,
2020-01-20,Port Phillip (C),0.0,
2020-01-20,Stonnington (C),0.0,
2020-01-20,Whitehorse (C),0.0,
2020-01-20,Whittlesea (C),0.0,
2020-01-20,Wyndham (C),0.0,
2020-01-20,Yarra (C),0.0,
2020-01-20,all,0.0,
2020-01-20,highSE,0.0,
2020-01-20,lowSE,0.0,
2020-01-20,midSE,0.0,
2020-01-21,Banyule (C),0.0,
2020-01-21,Bayside (C),0.0,
2020-01-21,Boroondara (C),0.0,
2020-01-21,Brimbank (C),0.0,
2020-01-21,Cardinia (S),0.0,
2020-01-21,Casey (C),0.0,
2020-01-21,Darebin (C),0.0,
2020-01-21,Frankston (C),0.0,
2020-01-21,Glen Eira (C),0.0,
2020-01-21,Greater Dandenong (C),0.0,
2020-01-21,Hobsons Bay (C),0.0,
2020-01-21,Hume (C),0.0,
2020-01-21,Kingston (C) (Vic.),,
2020-01-21,Knox (C),0.0,
2020-01-21,Manningham (C),0.0,
2020-01-21,Maribyrnong (C),0.0,
2020-01-21,Maroondah (C),0.0,
2020-01-21,Melbourne (C),0.0,
2020-01-21,Melton (C),0.0,
2020-01-21,Monash (C),0.0,
2020-01-21,Moonee Valley (C),0.0,
2020-01-21,Moreland (C),0.0,
2020-01-21,Mornington Peninsula (S),0.0,
2020-01-21,Nillumbik (S),0.0,
2020-01-21,Port Phillip (C),0.0,
2020-01-21,Stonnington (C),0.0,
2020-01-21,Whitehorse (C),0.0,
2020-01-21,Whittlesea (C),0.0,
2020-01-21,Wyndham (C),0.0,
2020-01-21,Yarra (C),0.0,
2020-01-21,all,0.0,
2020-01-21,highSE,0.0,
2020-01-21,lowSE,0.0,
2020-01-21,midSE,0.0,
2020-01-22,Banyule (C),0.0,
2020-01-22,Bayside (C),0.0,
2020-01-22,Boroondara (C),0.0,
2020-01-22,Brimbank (C),0.0,
2020-01-22,Cardinia (S),0.0,
2020-01-22,Casey (C),0.0,
2020-01-22,Darebin (C),0.0,
2020-01-22,Frankston (C),0.0,
2020-01-22,Glen Eira (C),0.0,
2020-01-22,Greater Dandenong (C),0.0,
2020-01-22,Hobsons Bay (C),0.0,
2020-01-22,Hume (C),0.0,
2020-01-22,Kingston (C) (Vic.),,
2020-01-22,Knox (C),0.0,
2020-01-22,Manningham (C),0.0,
2020-01-22,Maribyrnong (C),0.0,
2020-01-22,Maroondah (C),0.0,
2020-01-22,Melbourne (C),0.0,
2020-01-22,Melton (C),0.0,
2020-01-22,Monash (C),0.0,
2020-01-22,Moonee Valley (C),0.0,
2020-01-22,Moreland (C),0.0,
2020-01-22,Mornington Peninsula (S),0.0,
2020-01-22,Nillumbik (S),0.0,
2020-01-22,Port Phillip (C),0.0,
2020-01-22,Stonnington (C),0.0,
2020-01-22,Whitehorse (C),0.0,
2020-01-22,Whittlesea (C),0.0,
2020-01-22,Wyndham (C),0.0,
2020-01-22,Yarra (C),0.0,
2020-01-22,all,0.0,
2020-01-22,highSE,0.0,
2020-01-22,lowSE,0.0,
2020-01-22,midSE,0.0,
2020-01-23,Banyule (C),0.0,
2020-01-23,Bayside (C),0.0,
2020-01-23,Boroondara (C),0.0,
2020-01-23,Brimbank (C),0.0,
2020-01-23,Cardinia (S),0.0,
2020-01-23,Casey (C),0.0,
2020-01-23,Darebin (C),0.0,
2020-01-23,Frankston (C),0.0,
2020-01-23,Glen Eira (C),0.0,
2020-01-23,Greater Dandenong (C),0.0,
2020-01-23,Hobsons Bay (C),0.0,
2020-01-23,Hume (C),0.0,
2020-01-23,Kingston (C) (Vic.),,
2020-01-23,Knox (C),0.0,
