date,name,cases_rolling,facebook_mobility_score
2020-01-17,Cumberland (A),0.0,
2020-01-17,Fairfield (C),0.0,
2020-01-17,Georges River (A),0.0,
2020-01-17,Hawkesbury (C),0.0,
2020-01-17,Hornsby (A),0.0,
2020-01-17,Hunters Hill (A),0.0,
2020-01-17,Inner West (A),0.0,
2020-01-17,Ku-ring-gai (A),0.0,
2020-01-17,Lane Cove (A),0.0,
2020-01-17,Liverpool (C),0.0,
2020-01-17,Mosman (A),0.0,
2020-01-17,North Sydney (A),0.0,
2020-01-17,Northern Beaches (A),0.0,
2020-01-17,Parramatta (C),0.0,
2020-01-17,Penrith (C),0.0,
2020-01-17,Randwick (C),0.0,
2020-01-17,Ryde (C),0.0,
2020-01-17,Strathfield (A),0.0,
2020-01-17,Sydney (C),0.0,
2020-01-17,The Hills Shire (A),0.0,
2020-01-17,Waverley (A),0.0,
2020-01-17,Willoughby (C),0.0,
2020-01-17,Woollahra (A),0.0,
2020-01-17,all,0.0,
2020-01-17,highSE,0.0,
2020-01-17,lowSE,0.0,
2020-01-17,midSE,0.0,
2020-01-18,Bayside (A),0.0,
2020-01-18,Blacktown (C),0.0,
2020-01-18,Burwood (A),0.0,
2020-01-18,Camden (A),0.0,
2020-01-18,Canada Bay (A),0.0,
2020-01-18,Canterbury-Bankstown (A),0.0,
2020-01-18,Central Coast (C) (NSW),0.0,
2020-01-18,Cumberland (A),0.0,
2020-01-18,Fairfield (C),0.0,
2020-01-18,Georges River (A),0.0,
2020-01-18,Hawkesbury (C),0.0,
2020-01-18,Hornsby (A),0.0,
2020-01-18,Hunters Hill (A),0.0,
2020-01-18,Inner West (A),0.0,
2020-01-18,Ku-ring-gai (A),0.0,
2020-01-18,Lane Cove (A),0.0,
2020-01-18,Liverpool (C),0.0,
2020-01-18,Mosman (A),0.0,
2020-01-18,North Sydney (A),0.0,
2020-01-18,Northern Beaches (A),0.0,
2020-01-18,Parramatta (C),0.0,
2020-01-18,Penrith (C),0.0,
