date,name,mobility_score,cases_rolling
2020-04-15,Glen Eira (C),-0.05551223301868924,0.14285714285714285
2020-04-15,Greater Dandenong (C),-0.10591010653289482,0.0
2020-04-15,Hobsons Bay (C),0.03813595140578766,0.0
2020-04-15,Hume (C),-0.01513438430307859,0.2857142857142857
2020-04-15,Kingston (C) (Vic.),0.14362198009047064,
2020-04-15,Knox (C),0.21140740385660367,0.0
2020-04-15,Manningham (C),0.08894225312415495,0.2857142857142857
2020-04-15,Maribyrnong (C),-0.009969930901903169,0.0
2020-04-15,Maroondah (C),0.07913126546993846,0.14285714285714285
2020-04-15,Melbourne (C),-0.05561628800295201,0.0
2020-04-15,Melton (C),0.14222110632928922,0.14285714285714285
2020-04-15,Monash (C),-0.00210838311474896,0.2857142857142857
2020-04-15,Moonee Valley (C),-0.13867316780072467,0.0
2020-04-15,Moreland (C),-0.016089446544341378,0.2857142857142857
2020-04-15,Mornington Peninsula (S),0.10031633441999109,0.0
2020-04-15,Nillumbik (S),0.9411402997822338,0.0
2020-04-15,Port Phillip (C),-0.1030528681410843,0.14285714285714285
2020-04-15,Stonnington (C),-0.10992786674718935,0.14285714285714285
2020-04-15,Whitehorse (C),-0.042383981024455626,0.14285714285714285
2020-04-15,Whittlesea (C),0.03703038500131622,0.0
2020-04-15,Wyndham (C),0.11023308808171497,0.0
2020-04-15,Yarra (C),-0.1205723854196777,0.14285714285714285
2020-04-15,all,-0.07978980582371491,3.857142857142857
2020-04-15,highSE,-0.09902642344280264,2.0
2020-04-15,lowSE,-0.060921374971672194,1.0
2020-04-15,midSE,-0.07855945551756605,0.8571428571428571
2020-04-16,Banyule (C),0.14760312812023715,1.0
2020-04-16,Bayside (C),0.1215098410883456,0.0
2020-04-16,Boroondara (C),-0.0372135376846605,0.0
2020-04-16,Brimbank (C),-0.02229148289803117,0.14285714285714285
2020-04-16,Cardinia (S),0.06892023149349534,0.0
2020-04-16,Casey (C),0.14414453295876156,0.42857142857142855
2020-04-16,Darebin (C),-0.0044522856168346826,0.0
2020-04-16,Frankston (C),0.0039199586168195254,0.14285714285714285
2020-04-16,Glen Eira (C),-0.053023494804676545,0.14285714285714285
2020-04-16,Greater Dandenong (C),-0.11096288825133586,0.0
2020-04-16,Hobsons Bay (C),0.02894674759462792,0.0
2020-04-16,Hume (C),-0.021238978738317402,0.14285714285714285
2020-04-16,Kingston (C) (Vic.),0.10998047720411129,
2020-04-16,Knox (C),0.17622253924899356,0.0
2020-04-16,Manningham (C),0.09023883109658438,0.2857142857142857
2020-04-16,Maribyrnong (C),-0.012503552322003429,0.0
2020-04-16,Maroondah (C),0.08404237323721263,0.14285714285714285
2020-04-16,Melbourne (C),-0.05908993878630993,0.0
2020-04-16,Melton (C),0.12079396616579398,0.14285714285714285
2020-04-16,Monash (C),0.0030299536962191892,0.2857142857142857
2020-04-16,Moonee Valley (C),-0.14042734766870976,0.0
2020-04-16,Moreland (C),-0.01638225036820661,0.14285714285714285
2020-04-16,Mornington Peninsula (S),0.1033316194686303,0.0
2020-04-16,Nillumbik (S),0.9411402997822338,0.0
2020-04-16,Port Phillip (C),-0.10877061273811357,0.14285714285714285
2020-04-16,Stonnington (C),-0.11254438631468625,0.2857142857142857
2020-04-16,Whitehorse (C),-0.051958703632297834,0.14285714285714285
2020-04-16,Whittlesea (C),0.029745502483876928,0.0
2020-04-16,Wyndham (C),0.11117247212386856,0.0
2020-04-16,Yarra (C),-0.12937413173001105,0.14285714285714285
2020-04-16,all,-0.08360936377923123,3.7142857142857144
2020-04-16,highSE,-0.10064056589389365,2.0
2020-04-16,lowSE,-0.06586340282575824,1.0
2020-04-16,midSE,-0.08360522698545303,0.7142857142857143
2020-04-17,Banyule (C),0.15082828207577595,0.5714285714285714
2020-04-17,Bayside (C),0.08424782521361444,0.0
2020-04-17,Boroondara (C),0.010259865676888155,0.0
2020-04-17,Brimbank (C),0.0456208100883501,0.14285714285714285
2020-04-17,Cardinia (S),0.13914700829410384,0.0
2020-04-17,Casey (C),0.2184690894913129,0.42857142857142855
2020-04-17,Darebin (C),0.07203943138254289,0.0
2020-04-17,Frankston (C),0.0031716220473526975,0.14285714285714285
2020-04-17,Glen Eira (C),0.015101862528434887,0.0
2020-04-17,Greater Dandenong (C),-0.0951705218406185,0.0
2020-04-17,Hobsons Bay (C),0.03846053673620787,0.0
2020-04-17,Hume (C),0.060658530081534004,0.14285714285714285
2020-04-17,Kingston (C) (Vic.),0.08779923287633254,
2020-04-17,Knox (C),0.18728063765667,0.0
2020-04-17,Manningham (C),0.11086196784383762,0.2857142857142857
2020-04-17,Maribyrnong (C),0.012023345617849502,0.0
2020-04-17,Maroondah (C),0.12915933948298836,0.14285714285714285
2020-04-17,Melbourne (C),-0.019165380873625442,0.0
2020-04-17,Melton (C),0.23181940594577072,0.0
2020-04-17,Monash (C),0.03064151275068463,0.42857142857142855
2020-04-17,Moonee Valley (C),-0.04334941285133165,0.0
2020-04-17,Moreland (C),-0.002134944008131051,0.14285714285714285
2020-04-17,Mornington Peninsula (S),0.0789122315861256,0.14285714285714285
2020-04-17,Nillumbik (S),0.798283156925091,0.0
2020-04-17,Port Phillip (C),-0.058882081024056065,0.0
2020-04-17,Stonnington (C),-0.0875693754247487,0.14285714285714285
2020-04-17,Whitehorse (C),0.039170300849399806,0.0
2020-04-17,Whittlesea (C),0.08893138537657162,0.0
2020-04-17,Wyndham (C),0.16914656994807636,0.0
2020-04-17,Yarra (C),-0.08570350538653813,0.14285714285714285
2020-04-17,all,-0.03921661424786437,2.857142857142857
2020-04-17,highSE,-0.05754939638435258,1.0
2020-04-17,lowSE,-0.0065510434358797874,0.8571428571428571
2020-04-17,midSE,-0.04185740556906322,1.0
2020-04-18,Banyule (C),0.11465920780488899,0.5714285714285714
2020-04-18,Bayside (C),0.08424782521361444,0.0
2020-04-18,Boroondara (C),-0.008497118325313425,0.0
2020-04-18,Brimbank (C),0.05925722797654716,0.14285714285714285
2020-04-18,Cardinia (S),0.053743236131856456,0.0
2020-04-18,Casey (C),0.10706138810938325,0.2857142857142857
2020-04-18,Darebin (C),0.035382320087050216,0.0
2020-04-18,Frankston (C),-0.013701569001839395,0.14285714285714285
2020-04-18,Glen Eira (C),0.019806480025321278,0.0
2020-04-18,Greater Dandenong (C),-0.057772536180780244,0.0
2020-04-18,Hobsons Bay (C),0.03846053673620787,0.0
2020-04-18,Hume (C),0.02952060117013072,0.2857142857142857
2020-04-18,Kingston (C) (Vic.),0.07533142326102636,
2020-04-18,Knox (C),0.19120149029473663,0.0
2020-04-18,Manningham (C),0.066359983899956,0.2857142857142857
2020-04-18,Maribyrnong (C),0.030498133286070882,0.0
2020-04-18,Maroondah (C),0.12097803328046179,0.2857142857142857
2020-04-18,Melbourne (C),0.004393350247065335,0.2857142857142857
2020-04-18,Melton (C),0.14110296141160433,0.0
